wl,sci,sce
360,6.16000000,1.26000000
370,6.51000000,1.62000000
380,6.96000000,2.09000000
390,7.41000000,2.56000000
400,7.74000000,2.90000000
410,7.91000000,3.09000000
420,8.10000000,3.29000000
430,8.46000000,3.66000000
440,9.08000000,4.29000000
450,10.21000000,5.41000000
460,12.12000000,7.30000000
470,15.16000000,10.29000000
480,20.03000000,15.11000000
490,26.34000000,21.38000000
500,34.53000000,29.52000000
510,42.09000000,37.04000000
520,46.79000000,41.71000000
530,48.24000000,43.15000000
540,46.85000000,41.79000000
550,43.04000000,38.01000000
560,37.74000000,32.77000000
570,32.20000000,27.30000000
580,26.61000000,21.79000000
590,21.03000000,16.27000000
600,16.59000000,11.89000000
610,13.91000000,9.26000000
620,12.72000000,8.10000000
630,12.25000000,7.65000000
640,11.83000000,7.23000000
650,11.71000000,7.12000000
660,12.24000000,7.65000000
670,13.36000000,8.77000000
680,14.68000000,10.09000000
690,15.72000000,11.12000000
700,15.86000000,11.26000000
710,15.20000000,10.60000000
720,14.65000000,10.04000000
730,15.04000000,10.44000000
740,17.23000000,12.62000000
