wl,sci,sce
400,0.00000000,7.45000000
410,0.00000000,9.41000000
420,0.00000000,11.64000000
430,0.00000000,13.67000000
440,0.00000000,15.58000000
450,0.00000000,17.27000000
460,0.00000000,18.94000000
470,0.00000000,20.71000000
480,0.00000000,22.36000000
490,0.00000000,24.02000000
500,0.00000000,25.59000000
510,0.00000000,27.02000000
520,0.00000000,28.31000000
530,0.00000000,29.42000000
540,0.00000000,30.38000000
550,0.00000000,31.31000000
560,0.00000000,32.12000000
570,0.00000000,32.95000000
580,0.00000000,33.76000000
590,0.00000000,34.62000000
600,0.00000000,35.61000000
610,0.00000000,36.75000000
620,0.00000000,37.88000000
630,0.00000000,39.16000000
640,0.00000000,40.41000000
650,0.00000000,41.49000000
660,0.00000000,42.58000000
670,0.00000000,43.71000000
680,0.00000000,44.72000000
690,0.00000000,45.46000000
700,0.00000000,46.34000000
